plywood, pren tair haen, celf,
comprehensibility, eglurder, celf,
compression, cywasgedd, celf,
concentrate, crynodi, celf,
concentrated, crynodedig, celf,
concentric circles, cylchoedd cydganol, celf,
concept, cysyniad, celf,
concomitant, cydredol, celf,
concrete, diriaethol, celf,
concrete art, celfyddyd ddiriaethol, celf,
concretization, diriaetholi, celf,
cone, côn, celf,
cone pat, pat côn, celf,
configuration, ffurfweddiad, celf,
conical, conigol, celf,
consistent, cyson, celf,
constancy, sefydlogrwydd, celf,
constancy of colour, unffurfiaeth lliw, celf,
constancy of shape, unffurfiaeth siâp, celf,
constellation, clwstwr, celf,
construct, llunio, celf,
construction, adeiladwaith, celf,
construction line, llinell lunio, celf,
construction paper, papur adeiladwaith, celf,
constructivism, adeileddiaeth, celf,
constructivist, adeileddol, celf,
constructivist, adeileddwr, celf,
contain, cynnwys, celf,
container, cynhwysydd, celf,
contemporary, cyfoes, celf,
contemporary art, celfyddyd gyfoes, celf,
contemporary style, arddull cyfoes, celf,
content, cynnwys, celf,
contiguity, cyfagosrwydd, celf,
continuation, parhad, celf,
continue, parhau, celf,
continuous, di-dor, celf,
contour, amlinell, celf,
contour, cyfuchlinedd, celf,
contraction, cyfangiad, celf,
contrast, cyferbyniad, celf,
contrasting, cyferbyniol, celf,
contrasting colour, lliw cyferbyniol, celf,
control, rheolaeth, celf,
control, rheoli, celf,
control rod, rhoden reoli, celf,
convenient, cyfleus, celf,
conventional, confensiynol, celf,
conventional art, celfyddyd gonfensiynol, celf,
convergent, cydgyfeiriol, celf,
conversation piece, darlun ymddiddan, celf,
convex, amgrwm, celf,
convexity, amgrymedd, celf,
cool colour, lliw oeraidd, celf,
copal varnish, farnais copal, celf,
coping saw, llif fwa fach, celf,
copper, copr, celf,
copper blank, blanc copr, celf,
copper stud, styden gopr, celf,
copper wire, gwifren gopr, celf,
copy, copi, celf,
copy, copïo, celf,
copyright, hawlfraint, celf,
coral stitch, pwyth cwrel, celf,
corbelled arch, bwa corbelaidd, celf,
cord, cortyn, celf,
corduroy, melfaréd, celf,
core, craidd, celf,
cork, corc, celf,
cork, corcyn, celf,
cork block, bloc corc, celf,
cork slab, tafell gorc, celf,
corner, cornel, celf,
correct, cywir, celf,
correct sequence, trefn gywir, celf,
correction, cywiriad, celf,
corresponding, cyfatebol, celf,
corrode, cyrydu, celf,
corrosion, cyrydiad, celf,
corrugated, rhychiog, celf,
corrugated card, cerdyn rhychiog, celf,
corrugated paper, papur rhychiog, celf,
costume, gwisgoedd, celf,
costume, gwisg, celf,
cottage loom, gwŷdd bwthyn, celf,
cotton, cotwm, celf,
cotton apron, ffedog gotwm, celf,
cotton tape, tâp cotwm, celf,
cotton thread, edau gotwm, celf,
cotton twine, cortyn cotwm, celf,
cotton wool, gwlân cotwm, celf,
counter enamel, enamel cefndir, celf,
counteract, gwrthweithio, celf,
counterbalance, gwrthbwyso, celf,
counterchange, gwrthgyfnewid, celf,
counterchange design, cynllun gwrthgyfnewid, celf,
counterchange pattern, patrwm gwrthgyfnewid, celf,
counterfactor, gwrthffactor, celf,
counterpart, gwrthran, celf,
counterpoint, gwrthbwynt, celf,
counterproof, gwrthbrawf, celf,
countersunk head rivet, rhybed pen gwrthsodd, celf,
countersunk rivet, rhybed gwrthsodd, celf,
counterweight, gwrthbwysyn, celf,
courtyard, iard, celf,
cover, clawr, celf,
cover, gorchuddio, celf,
cover board, bwrdd clawr, celf,
cover paper, papur clawr, celf,
cradle, crud, celf,
cradling, crudiad, celf,
craft, crefft, celf,
craft dye, llifyn crefft, celf,
craft knife, cyllell grefft, celf,
craft paint, paent crefft, celf,
craftsman, crefftwr, celf,
craftsmanship, crefftwriaeth, celf,
craftworker, crefftwr, celf,
cranked, cam, celf,
cranked palette knife, cyllell balet gam, celf,
crate, cawell, celf,
crawling, ymlusgo, celf,
crayon, creon, celf,
crayon engraving, ysgythriad creon, celf,
crayon pencil, pensil creon, celf,
crazing, cracellu, celf,
creamy consistency, ansawdd hufennog, celf,
crease, crych, celf,
crease, crychu, celf,
crease-resistant, gwrthgrych, celf,
create, creu, celf,
creation, creadigaeth, celf,
creative, creadigol, celf,
creative approach, agwedd greadigol, celf,
creative arts, celfyddydau creadigol, celf,
creative craftwork, crefftwaith creadigol, celf,
creative design, cynllun creadigol, celf,
creative expression, mynegiant creadigol, celf,
creative work, gwaith creadigol, celf,
creativity, creadigrwydd, celf,
creel, rhesel sbwliau, celf,
crescent, cilgant, celf,
crested chain stitch, pwyth cadwyn cribog, celf,
crimson, rhuddgoch, celf,
crimson lake, llif rhuddgoch, celf,
crinkle, crychu, celf,
crinkled paper, papur crych, celf,
crochet, gwaith crosio, celf,
crochet hook, bach crosio, celf,
crocheted lace, les wedi'i grosio, celf,
cross, croes, celf,
cross stitch, pwyth croes, celf,
cross-hatching, croeslinellu, celf,
crossbar, croesfar, celf,
crucible, crwsibl, celf,
crush, malu'n fân, celf,
crushed enamel, enamel mâl, celf,
crystabolite, cristabolit, celf,
crystal, grisial, celf,
crystalline, grisialog, celf,
crystalline glaze, gwydredd grisialog, celf,
crystalline pigment, pigment grisialog, celf,
crystalline structure, ffurfiad grisialog, celf,
crêpe paper, papur crêp, celf,
cube, ciwb, celf,
cubism, ciwbiaeth, celf,
cubist, ciwbydd, celf,
cuff, cyffen, celf,
cufflink, dolen lawes, celf,
culture, diwylliant, celf,
cuneiform, cynffurf, celf,
cup handle, dolen gwpan, celf,
cupboard, cwpwrdd, celf,
cupola, cwpola, celf,
cupro-nickel, nicel coprog, celf,
cure, caledu, celf,
cursive, rhedol, celf,
curtain, llen, celf,
curtain ring, dolen llenni, celf,
curvature, crymedd, celf,
curve, cromlin, celf,
curved, crwm, celf,
curved bodkin, botgin crwm, celf,
curved line, llinell grom, celf,
curved snips, snipiwr crwm, celf,
cushion, clustog, celf,
cut, torlun, celf,
cut, torri, celf,
cut out, torri allan, celf,
cut paper, papur wedi'i dorri, celf,
cutter, torrwr, celf,
cutting, toriad, celf,
cutting board, bwrdd torri, celf,
cutting plate, plât torri, celf,
cutting press, gwasg dorri, celf,
cutting wire, gwifren dorri, celf,
cutting-out scissors, siswrn torri defnydd, celf,
cyclorama, seiclorama, celf,
cylinder, silindr, celf,
cylindrical, silindrog, celf,
cylindrical cuffs, cyffiau silindrog, celf,
dab, dab, celf,
dada, dada, celf,
dadaism, dadaiaeth, celf,
dado, dado, celf,
damage, difrod, celf,
damage, difrodi, celf,
damascene, damasgin, celf,
damascene, damasgu, celf,
damp, llaith, celf,
damp storage, storfa laith, celf,
dampen, lleithio, celf,
dampness, lleithder, celf,
dangling, hongian yn rhydd, celf,
dark, tywyll, celf,
dark purple, porffor tywyll, celf,
dark tone, tôn tywyll, celf,
darning hoop, cylch creithio, celf,
darning needle, nodwydd greithio, celf,
de-airing, datawyru, celf,
de-waxing, digwyro, celf,
decorate, addurno, celf,
decorated, addurnedig, celf,
decoration, addurn, celf,
decorative, addurnol, celf,
decorative art, celfyddyd addurnol, celf,
decorative container, cynhwysydd addurnol, celf,
decorative details, manylion addurnol, celf,
decorative finish, gorffeniad addurnol, celf,
decorative panel, panel addurnol, celf,
decorative relief, cerfwedd addurnol, celf,
decorative stitch, pwyth addurnol, celf,
decorative technique, techneg addurnol, celf,
decorative unit, uned addurnol, celf,
deep, dwfn, celf,
deep chrome yellow, melyn crôm dwfn, celf,
deep lemon yellow, melyn lemon dwfn, celf,
deep naples yellow, melyn dwfn napoli, celf,
deep sunken, wedi'i suddo'n ddwfn, celf,
define, diffinio, celf,
definition, diffiniad, celf,
deflocculate, datglystyru, celf,
deflocculation, datglystyriad, celf,
defoaming, diewynnu, celf,
deformation, anffurfiad, celf,
degassing, dinwyo, celf,
degreasant, datseimydd, celf,
delft ware, crochenwaith delft, celf,
delicate, cain, celf,
delicate, eiddil, celf,
dematerialize, difateroli, celf,
demonstrate, arddangos, celf,
demonstration, arddangosiad, celf,
dense, trwchus, celf,
dense, dwys, celf,
density, dwysedd, celf,
dent, tolc, celf,
dentage, dentiad, celf,
denting, dentio, celf,
depress, gostwng, celf,
depression, gostyngiad, celf,
depth, dyfnder, celf,
depth dimension, dimensiwn dyfnder, celf,
derivative, deilliadol, celf,
derivative art, celfyddyd ddeilliadol, celf,
descriptive, disgrifiadol, celf,
design, cynllun, celf,
design, dylunio, celf,
design of a batik, dyluniad batik, celf,
design thinking, ystyried dylunio, celf,
design view, golwg dylunio, celf,
designer, dylunydd, celf,
detach, datgysylltu, celf,
detachable, datgysylltiol, celf,
detached, datgysylltiedig, celf,
detached chain stitch, pwyth cadwyn unigol, celf,
detail, manylyn, celf,
detail, manylu, celf,
detail drawing, lluniad manylion, celf,
detail paper, papur manylion, celf,
detail scenery, set fanwl, celf,
detailed, manwl, celf,
detailed drawing, lluniad manwl, celf,
detergent, glanedydd, celf,
develop, datblygu, celf,
development, datblygiad, celf,
deviate, gwyro, celf,
deviation, gwyriad, celf,
device, dyfais, celf,
devise, dyfeisio, celf,
devitrification, diwydriad, celf,
dhootie cloth, brethyn dhootie, celf,
diagonal, croeslin, celf,
diagonal, croeslinol, celf,
diagonal stroke, strôc groeslinol, celf,
diagonally, yn groeslinol, celf,
diagram, diagram, celf,
dialogue, deialog, celf,
diameter, diamedr, celf,
diamond, diemwnt, celf,
diaper, diaper, celf,
differentiate, gwahaniaethu, celf,
diffuse, tryledu, celf,
diffuser, tryledwr, celf,
diffuser spray, tryledwr chwistrell, celf,
diffusion, trylediad, celf,
diluent, gwanedydd, celf,
dilute, gwanedu, celf,
dilute acid, asid gwanedig, celf,
dilution, gwanediad, celf,
dimension, dimensiwn, celf,
dimensional, dimensiynol, celf,
diminish, lleihau, celf,
diminish, cywasgu, celf,
dimmer, pylydd, celf,
dimmer board, bwrdd pylu, celf,
diorama, diorama, celf,
diorite, diorit, celf,
dip, dip, celf,
dipper, dipell, celf,
direct, uniongyrchol, celf,
direct application, rhoi, celf,
direct dye, llifyn uniongyrchol, celf,
direct method, dull uniongyrchol, celf,
direct moulding clay, clai modelu uniongyrchol, celf,
direct painting, peintio uniongyrchol, celf,
disc, disg, celf,
discordant, anghydnaws, celf,
discovery, darganfyddiad, celf,
discriminate, gwahaniaethu, celf,
disequilibrium, diffyg cydbwysedd, celf,
disguise, cuddio, celf,
dismantle, datgysylltu, celf,
display, arddangosfa, celf,
display board, bwrdd arddangos, celf,
display panel, panel arddangos, celf,
display stand, stand arddangos, celf,
disposable palette, palet hepgor, celf,
dissolve, hydoddi, celf,
dissolve, toddi, celf,
distaff, cogail, celf,
distance, pellter, celf,
distemper, distemper, celf,
distemper paint, paent distemper, celf,
distinct, amlwg, celf,
distinctive, nodedig, celf,
distort, ystumio, celf,
distort, aflunio, celf,
distortion, ystumiad, celf,
distortion, afluniad, celf,
distract, gwrthdynnu, celf,
distraction, gwrthdyniad, celf,
distribute, dosbarthu, celf,
distribution, dosbarthiad, celf,
diverge, dargyfeirio, celf,
dividers, cwmpas mesur, celf,
divisionist, rhaniadwr, celf,
dome, cromen, celf,
domestic iron, haearn smwddio, celf,
dominance, goruchafiaeth, celf,
dominant, trechol, celf,
dominant colour, lliw trechol, celf,
dominant feature, nodwedd trechol, celf,
donkey, seddisl, celf,
doodling, dwdlan, celf,
door panel, panel drws, celf,
dotted line, llinell doredig, celf,
double, dwbl, celf,
double chain stitch, pwyth cadwyn ddwbl, celf,
double dipper, dipell ddwbl, celf,
double knot stitch, pwyth cwlwm dwbl, celf,
double thickness, trwch dwbl, celf,
double thread, edau ddwbl, celf,
dowel, hoelbren, celf,
dowel construction, adeiladwaith hoelbren, celf,
draft, drafft, celf,
draft, drafftio, celf,
dramatize, dramateiddio, celf,
drape, gorchuddio, celf,
draped backcloth, cefnliain gorchuddio, celf,
drapery, dilladaeth, celf,
draughtsman, drafftsmon, celf,
draughtsmanship, drafftsmonaeth, celf,
draw, lluniadu, celf,
draw / paint computer system, system luniadu / peintio ar gyfrifiadur, celf,
draw a line, tynnu llinell, celf,
draw a picture, tynnu llun, celf,
draw to scale, lluniadu wrth raddfa, celf,
drawer, drôr, celf,
drawing, llun, celf,
drawing, lluniad, celf,
drawing ink, inc lluniadu, celf,
drawing instruments, offer lluniadu, celf,
drawing mode, modd lluniadu, celf,
drawing pencil, pensil lluniadu, celf,
drawing technique, techneg luniadu, celf,
drawing-board, bwrdd lluniadu, celf,
drawing-paper, papur lluniadu, celf,
drawing-pin, pìn bawd, celf,
drawn fabric embroidery, brodwaith ffabrig, celf,
drawn line, llinelliad, celf,
drawn thread embroidery, brodwaith tynnu edau, celf,
dress, gwisg, celf,
dress, gwisgo, celf,
dress rehearsal, ymarfer gwisgoedd, celf,
dress the set, gwisgo'r set, celf,
dress the stage, gwisgo'r llwyfan, celf,
dressing up, gwisgo, celf,
dressmaker, gwniyddes, celf,
dressmaker's dummy, model gwniyddes, celf,
dressmaker's pin, pìn bach, celf,
dribble, driblo, celf,
driftwood, broc, celf,
drill, dril, celf,
drill, drilio, celf,
drilling machine, peiriant drilio, celf,
drop, diferyn, celf,
drop pattern, patrwm disgyn, celf,
dropper, diferydd, celf,
dross, amhuredd, celf,
dry, sych, celf,
dry, sychu, celf,
dry brush, brwsh sych, celf,
dry colourant, lliwydd sych, celf,
dry point engraving, ysgythriad sychbwynt, celf,
drying process, proses sychu, celf,
drying time, amser sychu, celf,
drypoint etching, ysgythru sychbwynt, celf,
dual, deuol, celf,
dual purpose, pwrpas deublyg, celf,
ductile, hydwyth, celf,
ductility, hydwythedd, celf,
dummy, dymi, celf,
duplicate, dyblygeb, celf,
duplicate, dyblygu, celf,
durability, gwydnwch, celf,
durable, gwydn, celf,
durable colour, lliw sy'n para, celf,
dusty, llychlyd, celf,
dye, llifyn, celf,
dye, llifo, celf,
dye fix, sefydlyn llifyn, celf,
dyebath, baddon llifo, celf,
dyed, llifedig, celf,
dyed cane, gwialen liw, celf,
dyed hessian, hesian llifedig, celf,
dyed seagrass, morwellt llifedig, celf,
dyed string, llinyn llifedig, celf,
dyestuff, defnydd llifo, celf,
dynamic, dynamig, celf,
early christian art, celfyddyd cristnogaeth gynnar, celf,
earthenware, llestri pridd, celf,
earthing, daearu, celf,
ease, esmwythder, celf,
ease, lleddfu, celf,
ease, esmwytho, celf,
easel, îsl, celf,
easel tray, hambwrdd îsl, celf,
ebony, eboni, celf,
ebony stain, staen eboni, celf,
eddy, trolif, celf,
eddy, trolifo, celf,
edge, ymyl, celf,
edition, argraffiad, celf,
effect, effaith, celf,
effective, effeithiol, celf,
effective movement, symudiad effeithiol, celf,
efficiency, effeithlonrwydd, celf,
efficient, effeithlon, celf,
effigy, arddelw, celf,
efflorescence, ewlychiad, celf,
egg, wy, celf,
egg and dart treatment, addurn wy a saethell, celf,
egg shape, ar ffurf wy, celf,
egg tempera, tempera wy, celf,
egg yolk, melynwy, celf,
egg-shaped head, pen ffurf wy, celf,
eggshell, plisgyn wy, celf,
eggshell finish, gorffeniad plisgyn wy, celf,
eggshell porcelain, porslen plisgyn wy, celf,
egyptian hieroglyphics, hieroglyffigau'r eifftwyr, celf,
elaborate, coethi, celf,
elaborate, coeth, celf,
elaborate, manwl, celf,
elaborate, manylu, celf,
elastic, elastig, celf,
elastic band, band elastig, celf,
elasticity, elastigedd, celf,
elbow joint, cymal penelin, celf,
electric, trydanol, celf,
electric, trydan, celf,
electric arc furnace, ffwrnais arc drydan, celf,
electric arc welding, weldio arc drydan, celf,
electric iron, haearn trydan, celf,
electric kiln, odyn drydan, celf,
electricity, trydan, celf,
electrode, electrod, celf,
element, elfen, celf,
elements of painting, elfennau peintio, celf,
elevation, golwg, celf,
eliminant, dilëydd, celf,
eliminate, dileu, celf,
elimination, dilead, celf,
elimination print, dileubrint, celf,
elimination printing, dileubrintio, celf,
ellipse, elips, celf,
elliptic, eliptig, celf,
elliptical, eliptigol, celf,
embed, mewnblannu, celf,
embellishment, addurniad, celf,
emboss, boglynnu, celf,
embossed, boglynnog, celf,
embossing, boglynwaith, celf,
embroider, brodio, celf,
embroidered collage, collage brodwaith, celf,
embroidered lace, les wedi'i frodio, celf,
embroidered textiles, tecstilau wedi'u brodio, celf,
embroidery, brodwaith, celf,
embroidery cotton, edau frodwaith, celf,
embroidery frame, ffrâm frodio, celf,
embroidery needle, nodwydd frodio, celf,
embroidery scissors, siswrn brodio, celf,
embroidery thread, edau frodio, celf,
embroidery wool, gwlân brodio, celf,
emerald, emrallt, celf,
emerge, dod allan, celf,
emery cloth, clwt emeri, celf,
emotion, emosiwn, celf,
emotional, emosiynol, celf,
empathy, empathi, celf,
emphasis, pwyslais, celf,
emphasise, pwysleisio, celf,
emulsify, emwlsio, celf,
emulsion paint, paent emwlsiwn, celf,
emulsion polish, llathr emwlsiwn, celf,
enamel, enamel, celf,
enamel chips, sglodion enamel, celf,
enamel paint, paent enamel, celf,
enamelled, enamlog, celf,
enamelling colour, lliw enamlo, celf,
enamelling kiln, odyn enamlo, celf,
encaustic, llosgliw, celf,
encaustic tile, teilsen losgliw, celf,
enclose, amgáu, celf,
enclosed, amgaeedig, celf,
enclosure, tir caeedig, celf,
end elevation, ochrolwg, celf,
end paper, papur terfyn, celf,
engrave, ysgythru, celf,
engraving, ysgythriad, celf,
engraving block, bloc ysgythru, celf,
engraving line, llin-ysgythriad, celf,
engraving tool, erfyn ysgythru, celf,
enhance, gwella, celf,
enjoy, mwynhau, celf,
enjoyment, mwynhad, celf,
enlarge, helaethu, celf,
enlargement, helaethiad, celf,
entertainment, adloniant, celf,
enumerate, rhifo, celf,
enumeration, rhifiad, celf,
environment, amgylchedd, celf,
epoxy, epocsi, celf,
epoxy resin, resin epocsi, celf,
epoxy resin glue, glud resin epocsi, celf,
equal, cyfartal, celf,
equal, hafal, celf,
equality, cydraddoldeb, celf,
equality, hafaledd, celf,
equidistant, cytbell, celf,
equilateral arch, bwa hafalochrog, celf,
equilibrium, cydbwysedd, celf,
equipment, cyfarpar, celf,
erase, dileu, celf,
eraser, dilëwr, celf,
erect, unionsyth, celf,
escutcheon, esgytsiwn, celf,
esparto, esparto, celf,
essential, hanfodol, celf,
essentials, hanfodion, celf,
estimate, amcangyfrif, celf,
estimate, amcangyfrif, celf,
estimation, barn, celf,
etch, ysgythru, celf,
etcher, ysgythrwr, celf,
etching, ysgythriad, celf,
etching ground, grwnd ysgythru, celf,
etching needle, nodwydd ysgythru, celf,
etching press, gwasg ysgythru, celf,
etruscan art, celfyddyd etrwsgaidd, celf,
evaporate, anweddu, celf,
evaporation, anweddiad, celf,
even, llyfn, celf,
even texture, gwead llyfn, celf,
exact, union, celf,
exactness, manwl gywirdeb, celf,
exaggerate, gorliwio, celf,
exaggeration, gorliwiad, celf,
example, enghraifft, celf,
excite, cynhyrfu, celf,
excitement, cynnwrf, celf,
exciting, cynhyrfus, celf,
exercise, ymarfer, celf,
exhibit, arddangos, celf,
exhibition, arddangosfa, celf,
exhibitor, arddangoswr, celf,
exothermic, ecsothermig, celf,
expand, ehangu, celf,
expanded, ehangedig, celf,
expansion, ehangiad, celf,
experiment, arbrawf, celf,
experiment, arbrofi, celf,
explain, egluro, celf,
explanation, esboniad, celf,
explanatory, eglurhaol, celf,
exploded, taenedig, celf,
exploded view, golwg taenedig, celf,
exploration, archwiliad, celf,
exploratory, archwiliadol, celf,
explore, archwilio, celf,
expose, dinoethi, celf,
exposure, dinoethiad, celf,
express, mynegi, celf,
expression, mynegiant, celf,
expressionism, mynegiadaeth, celf,
expressionist, mynegiadol, celf,
expressionist, mynegiadwr, celf,
expressive, llawn mynegiant, celf,
expressiveness, mynegolrwydd, celf,
extender, estynnydd, celf,
extension, estyniad, celf,
extension, ymestyniad, celf,
extent, maint, celf,
exterior, allanol, celf,
exterior angle, ongl allanol, celf,
external, allanol, celf,
extrude, allwthio, celf,
extrusion, allwthiad, celf,
eye-level, llinell orwel, celf,
eyebrow, ael, celf,
eyelet, llygaden, celf,
eyelet hole, twll llygaden, celf,
eyelet pliers, gefelen llygaden, celf,
eyelet punch, tyllwr llygadennau, celf,
eyelet tools, offer llygadennu, celf,
fablon, fablon, celf,
fabric, ffabrig, celf,
fabric colour, lliw ffabrig, celf,
fabric craft, crefft ffabrig, celf,
fabric dye, llifyn ffabrig, celf,
fabric medium, cyfrwng ffabrig, celf,
fabric printing, printio ffabrig, celf,
fabric printing mallet, gordd brintio ffabrig, celf,
facade, ffasâd, celf,
face, wyneb, celf,
face, wynebu, celf,
facet, ffased, celf,
facial plane, plân wynebol, celf,
facility, cyfleuster, celf,
facsimile, ffacsimili, celf,
fade, colli lliw, celf,
fade, pylu, celf,
faggot stitch, pwyth ffagod, celf,
faience, faience, celf,
fairy tale, stori tylwyth teg, celf,
fake, ffug, celf,
fake, ffugwaith, celf,
fake, ffugio, celf,
fantasia, ffantasia, celf,
fantasy, ffantasi, celf,
fantasy figure, ffigur ffantasi, celf,
fashion, ffasiwn, celf,
fast, anniflan, celf,
fast colour, lliw anniflan, celf,
fast dye, llifyn anniflan, celf,
fasten, bachu, celf,
fasten, clymu, celf,
fastener, ffasnydd, celf,
fastness, anniflanedd, celf,
fat pigment, pigment bras, celf,
feather, pluen, celf,
feather, pluo, celf,
feather stitch, pwyth pluen, celf,
feathering, pluo, celf,
feature, nodwedd, celf,
feature variants, amrywiolion nodwedd, celf,
feel, naws, celf,
feel, teimlad, celf,
feel, teimlo, celf,
feeling, teimlad, celf,
feldspar, ffelsbar, celf,
felt, ffelt, celf,
felt marker, marciwr ffelt, celf,
felt pad, pad ffelt, celf,
felt pen, pen ffelt, celf,
felt pen drawing, llun pen ffelt, celf,
felt work, gwaith ffelt, celf,
felt-tip pen, pen blaen ffelt, celf,
felting, ffeltin, celf,
fence, ffens, celf,
ferrule, amgarn, celf,
fetish, ffetish, celf,
fettle, ffetlo, celf,
fibre, ffibr, celf,
fibre pen, pen ffibr, celf,
fibreglass, gwydr ffibr, celf,
figment of imagination, creadigaeth y dychymyg, celf,
figurative, ffigurol, celf,
figurative painting, paentiad ffigurol, celf,
figurative painting, peintio ffigurol, celf,
figure, ffigur, celf,
figurine, ffiguryn, celf,
filament yarn, edau ffilament, celf,
filbert shape brush, brwsh siâp cneuen, celf,
file, ffeil, celf,
file, ffeilio, celf,
filigree, ffiligri, celf,
fill, llenwi, celf,
filler, llenwad, celf,
fillet, ffiled, celf,
filling stitch, pwyth llenwi, celf,
film, ffilm, celf,
findings, casgliadau, celf,
fine art, celfyddyd gain, celf,
fine grain, graen mân, celf,
fine orifice, agorfa fach, celf,
fine point, pwynt main, celf,
fine surface, arwyneb llyfn, celf,
fineness, manedd, celf,
finger, bys, celf,
finger paint, paent bys, celf,
finger painting, paentiad bys, celf,
finger painting, peintio bys, celf,
finger puppet, pyped bys, celf,
fingerprint, ôl bys, celf,
finish, gorffeniad, celf,
finishing press, gwasg orffennu, celf,
finishing stove, stof orffennu, celf,
finite, meidraidd, celf,
firebrick, bricsen dân, celf,
fireclay, clai tân, celf,
fireproof, gwrthdan, celf,
fireproof material, defnydd gwrthdan, celf,
firing, tanio, celf,
firing chamber, siambr danio, celf,
first fold, plyg cyntaf, celf,
fishbone stitch, pwyth asgwrn pysgodyn, celf,
fit-up stage, llwyfan cludadwy, celf,
fitch hog brush, brwsh blew ffwlbart, celf,
five ply plywood, pren haenog pum haen, celf,
five-ply wood, pren pum haen, celf,
fix, sefydlogi, celf,
fixative, sefydlyn, celf,
fixative spray, chwistrell sefydlogi, celf,
fixed, sefydlog, celf,
fixed powder colour, powdrliw sefydlog, celf,
fixer, sefydlyn, celf,
fixture, gosodyn, celf,
flake, fflaw, celf,
flake white, gwyn plwm, celf,
flaked, fflawiog, celf,
flame, fflam, celf,
flame cutter, fflamdorrwr, celf,
flannel, gwlanen, celf,
flap, fflap, celf,
flashpoint, fflachbwynt, celf,
flat, fflat, celf,
flat, gwastad, celf,
flaw, diffyg, celf,
flax, llin, celf,
fleece, cnu, celf,
flexibility, hyblygrwydd, celf,
flexible, hyblyg, celf,
flexible, ystwyth, celf,
flexible cold glue, glud oer ystwyth, celf,
flexible joint, cymal hyblyg, celf,
flexure, plygiant, celf,
flexure strength, nerth plygiant, celf,
florist's wire, gwifren gwerthwr blodau, celf,
flour paste, past blawd, celf,
flow, llif, celf,
flow, llifo, celf,
flowery, blodeuog, celf,
flowing garment, dilledyn llac, celf,
fluff, fflwff, celf,
fluffing, fflwffio, celf,
fluid, hylif, celf,
fluorescence, fflworoleuedd, celf,
fluorescent, fflworoleuol, celf,
fluorescent colour, lliw fflworoleuol, celf,
fluorescent dye, llifyn fflworoleuol, celf,
fluorescent lighting, fflworolau, celf,
fluoroplastics, fflworoblastigion, celf,
flush, cyfwyneb, celf,
flute, ffliwt, celf,
fluted, rhychiog, celf,
fluting, rhychwaith, celf,
flux, fflwcs, celf,
fluxing agent, cyfrwng fflycsio, celf,
fluxocarbon, fflwcsocarbon, celf,
fly-leaf, dalen frig, celf,
flying shuttle, gwennol hedegog, celf,
foam, ewyn, celf,
foam rubber, rwber sbwng, celf,
focus, canolbwyntio, celf,
focus, ffocws, celf,
focus, ffocysu, celf,
focus, canolbwynt, celf,
foil, ffoil, celf,
fold, plyg, celf,
fold, plygu, celf,
fold line, llinell blygu, celf,
folder, ffolder, celf,
foliage, deiliant, celf,
foliage sculpture, cerflunwaith deiliant, celf,
foliated, deiliog, celf,
folio, ffolio, celf,
folklore, llên gwerin, celf,
foolscap, ffwlsgap, celf,
footlights, golau'r godre, celf,
footpower loom, gwŷdd troedlath, celf,
force, grym, celf,
fore-edge painting, peintio ymylodol, celf,
forearm, elin, celf,
forearm shield, elinwisg, celf,
forefinger, mynegfys, celf,
foreground, blaendir, celf,
foreshorten, rhagfyrhau, celf,
foreshortening, rhagfyriad, celf,
forge, gofannu, celf,
fork, fforch, celf,
fork, fforc, celf,
form, ffurfio, celf,
form, ffurf, celf,
formal, ffurfiol, celf,
formaldehyde, fformaldehyd, celf,
format, fformat, celf,
formation, ffurfiant, celf,
found material, defnydd hapgael, celf,
found object, gwrthrych hapgael, celf,
foundation, sylfaenol, celf,
foundation, sylfaen, celf,
foundation colour, lliw sylfaen, celf,
foundry, ffowndri, celf,
four-division saucer, soser bedair rhan, celf,
four-shaft loom, gwŷdd pedair siafft, celf,
foursided stitch, pwyth petryal, celf,
fragile, brau, celf,
fragment, darn, celf,
frame, ffrâm, celf,
frame, fframio, celf,
frame of reference, ffrâm gyfeirio, celf,
framework, fframwaith, celf,
fray, rhaflad, celf,
fray, rhaflo, celf,
free, rhydd, celf,
free blending, rhyddgymysgu, celf,
free flowing, rhyddlifo, celf,
free movement, symudiad rhydd, celf,
free painting, paentiad rhydd, celf,
free painting, peintio rhydd, celf,
freehand, llawrydd, celf,
freehand design, dyluniad llawrydd, celf,
french chalk, sialc ffrengig, celf,
french polish, llathrydd ffrengig, celf,
fresco, ffresgo, celf,
fretsaw, llif ffret, celf,
fretwork, rhwyllwaith, celf,
friction, ffrithiant, celf,
frieze, ffris, celf,
frieze paper, papur ffris, celf,
frill, ffrilen, celf,
fringe, ymyl, celf,
frit, ffrit, celf,
fritted glaze, gwydredd ffrit, celf,
frizzling, ffrislio, celf,
front, blaen, celf,
front, ffrynt, celf,
front elevation, blaenolwg, celf,
front loading kiln, odyn blaen-lwytho, celf,
front roller, rholer blaen, celf,
frontality, blaenluniad, celf,
frontispiece, wynebddarlun, celf,
frottage, ffroteisio, celf,
frottage, ffrotais, celf,
fugitive, ffoadur, celf,
fugitive colour, lliw diflan, celf,
fulcrum, ffwlcrwm, celf,
full control, rheolaeth lawn, celf,
full-length portrait, portread hyd llawn, celf,
fuller, pannwr, celf,
fuller's earth, pridd y pannwr, celf,
fullering, pannu, celf,
fume, mygdarth, celf,
fume, mygdarthu, celf,
fumigate, mygdarthu, celf,
