plywood, pren tair haen, celf,
anvil, eingion, celf,
aperture, agorfa, celf,
apex, apig, celf,
apparatus, cyfarpar, celf,
apparent, amlwg, celf,
apparent, ymddangosol, celf,
appear, ymddangos, celf,
appearance, ymddangosiad, celf,
application, cymhwysiad, celf,
applied art, celfyddyd gymhwysol, celf,
appliqué, appliqué, celf,
apply, cymhwyso (at), celf,
apply, rhoi, celf,
appreciate, gwerthfawrogi, celf,
appreciation, gwerthfawrogiad, celf,
approximate, bras, celf,
approximate, brasamcanu, celf,
approximately, tua, celf,
approximation, brasamcan, celf,
apron, ffedog, celf,
apron stage, llwyfan ffedog, celf,
apse, cromfan, celf,
apsidal, cromfannol, celf,
aquatint, acwatint, celf,
arabesque, arabésg, celf,
arbitrariness, mympwy, celf,
arbitrary, mympwyol, celf,
arc, arc, celf,
arc cutting, torri arc, celf,
arc welding, arc-weldio, celf,
arcade, arcêd, celf,
arch, pontio, celf,
arch, bwa, celf,
archaic, hynafol, celf,
archaism, hynafiaeth, celf,
archetype, archdeip, celf,
architect, pensaer, celf,
architectural, pensaernïol, celf,
architectural art, celfyddyd bensaernïol, celf,
architecture, pensaernïaeth, celf,
architrave, architraf, celf,
archivolt, moltas, celf,
area, arwynebedd, celf,
arena, arena, celf,
arm, braich, celf,
arm palette, palet braich, celf,
armature, armatwr, celf,
arrange, trefnu, celf,
arrangement, trefniant, celf,
arrow, saeth, celf,
art, celfyddyd, celf,
art, celf, celf,
art board, bwrdd arlunio, celf,
art form, ffurf gelf, celf,
art materials, defnyddiau celf, celf,
art nouveau, art nouveau, celf,
art therapist, therapydd celf, celf,
art vocabulary, geirfa gelf, celf,
artefact, arteffact, celf,
articulate, croyw, celf,
artificial, artiffisial, celf,
artificial light, golau artiffisial, celf,
artisan, crefftwr, celf,
artisan painter, arlunydd gwlad, celf,
artist, arlunydd, celf,
artist, artist, celf,
artist's canvas, cynfas arlunio, celf,
artist's materials, defnyddiau arlunio, celf,
artistic, celfydd, celf,
artistic, artistig, celf,
artistic intention, bwriad artistig, celf,
arts and entertainment, celfyddydau ac adloniant, celf,
asbestos, asbestos, celf,
asbestos mat, mat asbestos, celf,
ascender, esgynnwr, celf,
asceticism, asgetigiaeth, celf,
askew, ar letraws, celf,
aspect, agwedd, celf,
assay mark, nod prawf, celf,
assemblage, casgliad, celf,
assemble, cydosod, celf,
assembly, cydosodiad, celf,
assimilation, cymathiad, celf,
assorted, amrywiol, celf,
assorted colours, lliwiau amrywiol, celf,
assortment, amrywiaeth, celf,
assortment of materials, amrywiaeth defnyddiau, celf,
astragal, astragal, celf,
asymmetrical, anghymesurol, celf,
asymmetry, anghymesuredd, celf,
at an angle, ar ongl, celf,
at random, ar hap, celf,
atmosphere, awyrgylch, celf,
atomization, atomeiddiad, celf,
atomize, atomeiddio, celf,
atrium, atriwm, celf,
attach, cydio, celf,
attachment, atodyn, celf,
attitude, agwedd, celf,
attract, atynnu, celf,
attraction, atyniad, celf,
attractive, deniadol, celf,
attractive, atynnol, celf,
attractive force, grym atynnol, celf,
attribute, priodoledd, celf,
audience, cynulleidfa, celf,
auger, taradr, celf,
aureole, lleugylch, celf,
authentic, dilys, celf,
autoclave, ffwrn aerglos, celf,
autograph, llofnod, celf,
automatic, awtomatig, celf,
automation, awtomatiaeth, celf,
automatism, awtomatedd, celf,
auxiliary, ategol, celf,
aventurine, afentwrin, celf,
average, cyfartaledd, celf,
awareness, ymwybyddiaeth, celf,
awl, mynawyd, celf,
axis, echelin, celf,
axle, echel, celf,
back board, cefnfwrdd, celf,
back drop, cefnlen, celf,
back roller, rholer ôl, celf,
back screen, sgrin gefn, celf,
back stitch, pwyth ôl, celf,
backcloth, cefnlen, celf,
backfire, tanio'n ôl, celf,
background, cefndir, celf,
background punch, pwnsh cefndir, celf,
backing, cefnyn, celf,
backing board, bwrdd cefnu, celf,
backing hammer, morthwyl cefnu, celf,
backing sheet, dalen gefnu, celf,
backstitch, ôl-bwyth, celf,
backward tilt, gogwyddo'n ôl, celf,
badge, bathodyn, celf,
bailey, beili, celf,
baize, beias, celf,
baked enamel, enamel cras, celf,
bakelite, bakelite, celf,
balance, cadw cydbwysedd, celf,
balance, mantoli, celf,
balance, cydbwysedd, celf,
balanced shape, ffurf gytbwys, celf,
ball, pellen, celf,
ball, pêl, celf,
ball clay, clai pêl, celf,
ball mill, melin bêl, celf,
ball peen hammer, morthwyl wyneb crwn, celf,
ball pointed bodkin, botgin pengrwn, celf,
ballet, bale, celf,
balsa, balsa, celf,
balsa cement, sment balsa, celf,
balsa wood, pren balsa, celf,
bamboo, bambŵ, celf,
bamboo cane, cansen fambŵ, celf,
band, band, celf,
band nipper, niper bandio, celf,
band stitch, pwyth band, celf,
bandage, rhwymyn, celf,
banding, bandin, celf,
banding wheel, olwyn fandio, celf,
bar, bar, celf,
barbola, barbola, celf,
barbola paste, past barbola, celf,
barbola varnish, farnais barbola, celf,
barbola work, gwaith barbola, celf,
bark, rhisgl, celf,
baroque, baróc, celf,
baroque art, celfyddyd faróc, celf,
barrel, casgen, celf,
bas-relief, cerfwedd isel, celf,
basalt, basalt, celf,
basalt ware, crochenwaith basalt, celf,
base, sylfaen, celf,
base, sail, celf,
base coat, haen sail, celf,
basic, sylfaenol, celf,
basic colour, lliw sylfaenol, celf,
basic form, ffurf sylfaenol, celf,
basic material, defnydd sylfaenol, celf,
basis, sail, celf,
basket, basged, celf,
basket frame, ffrâm fasged, celf,
basket handle, dolen fasged, celf,
basket maker, gwneuthurwr basgedi, celf,
basket weave, gwead basged, celf,
basket work, basgedwaith, celf,
basketry, gwaith basged, celf,
bat, bat, celf,
bath, baddon, celf,
batik, batic, celf,
batik wax, cwyr batic, celf,
batten, astell, celf,
bauhaus designer, dylunydd bauhaus, celf,
bead, glain, celf,
beadwork, gleinwaith, celf,
beaker, bicer, celf,
beard, barf, celf,
beauty, harddwch, celf,
bedspread, cwrlid, celf,
beech, ffawydden, celf,
beech wood, pren ffawydd, celf,
beech wood mallet, gordd bren ffawydd, celf,
beeswax, cwyr gwenyn, celf,
behaviour, ymddygiad, celf,
belt, belt, celf,
bench, mainc, celf,
bench end, ystlys mainc, celf,
bend, plyg, celf,
bend, plygu, celf,
bend backwards, plygu'n ôl, celf,
bend down, plygu i lawr, celf,
bent bodkin, botgin cam, celf,
bent flat bodkin, botgin fflat cam, celf,
benzene, bensen, celf,
bevel, befel, celf,
bevel, befelu, celf,
bevelled edge, ymyl befel, celf,
biconcave, deugeugrwm, celf,
biconvex, deuamgrwm, celf,
bin, bin, celf,
bind, rhwymo, celf,
binder, rhwymwr, celf,
binding, rhwymyn, celf,
binding, rhwymiad, celf,
binding margin, ymyl rhwymo, celf,
binding medium, cyfrwng rhwymo, celf,
binding wire, gwifren rwymo, celf,
birch, bedwen, celf,
birch plywood, pren haenog bedw, celf,
biscuit, bisged, celf,
biscuit firing, tanio bisged, celf,
bisect, dwyrannu, celf,
bisect, haneru, celf,
bisector, hanerydd, celf,
bitumen, bitwmen, celf,
black, du, celf,
blacks and whites, duon a gwynion, celf,
blade, llafn, celf,
blank, gwag, celf,
blanket stitch, pwyth blanced, celf,
bleach, cannydd, celf,
bleach, cannu, celf,
bleached, can, celf,
bleached calico, calico can, celf,
bleached cane, gwialen gan, celf,
bleached white calico, calico gwyn can, celf,
blend, cymysgedd, celf,
blended fabric, ffabrig cymysg, celf,
blended-hair brush, brwsh blew cymysg, celf,
blind, cysgodlen, celf,
blister, pothell, celf,
blistering, pothellu, celf,
bloating, ymchwyddo, celf,
blob, smotyn, celf,
block, bloc, celf,
block, blocio, celf,
block capital letter, priflythyren, celf,
block colour, lliw bloc, celf,
block cutting tool, erfyn ysgythru, celf,
block letters, prif lythrennau, celf,
block pattern, patrwm bloc, celf,
block printing, printio bloc, celf,
bloom, blwm, celf,
blotting paper, papur sugno, celf,
blowlamp, chwythlamp, celf,
blue, glas, celf,
blue red, coch glas, celf,
blues and violets, gleision a fioledau, celf,
blunger, peiriant cymysgu clai, celf,
blunging, cymysgu clai, celf,
blur, brycheuyn, celf,
blur, pylu, celf,
board, bwrdd, celf,
board and easel, bwrdd ac îsl, celf,
board loom, gwŷdd bwrdd, celf,
bobbin, bobin, celf,
bobbin winder, gwas dirwyn, celf,
bodkin, botgin, celf,
body colour, lliw di-draidd, celf,
body control, rheolaeth gorfforol, celf,
body stain, staen di-draidd, celf,
bodyless, digorff, celf,
bodyless puppet, pyped digorff, celf,
bolt, bollt, celf,
bolt cutter, torrwr bollt, celf,
bolus ground, grwnd bolws, celf,
bonded surface, arwyneb bondiog, celf,
bonding, bondin, celf,
bone china, tsieni asgwrn, celf,
bone folder, plygell asgwrn, celf,
book, llyfr, celf,
book binder, rhwymwr llyfrau, celf,
book binding, rhwymo llyfrau, celf,
book craft, crefft llyfrau, celf,
book jacket, siaced lwch, celf,
book leather, lledr llyfr, celf,
book trough, cafn llyfrau, celf,
book-plate, plât llyfr, celf,
bookbinder's bench, mainc rhwymo llyfrau, celf,
bookbinder's press, gwasg rhwymwr llyfrau, celf,
bookbinding cloth, lliain rhwymo llyfrau, celf,
bookcloth, lliain llyfrau, celf,
booklet, llyfryn, celf,
bookmark, nod tudalen, celf,
bookrack, rhesel lyfrau, celf,
bookshelf, silff lyfrau, celf,
booth, bwth, celf,
boracic glaze, gwydredd borasig, celf,
borax, boracs, celf,
border, border, celf,
borderline, ffin, celf,
bottom, gwaelod, celf,
boundary, ffin, celf,
